radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,636,1,20058,31190,0,38.650588989258,7.7172088623047,1000,1,1,1438852980,1438852980,0
GSM,636,1,20045,21606,0,39.020004272461,8.4038543701172,1000,1,1,1434003230,1434003230,0
GSM,636,1,20049,16070,0,38.20426940918,6.1571502685547,1000,1,1,1438342222,1438342222,0
GSM,636,1,20045,31602,0,38.715133666992,7.9259490966797,1000,1,1,1438853046,1438853046,0
GSM,636,1,20046,36074,0,37.854080200195,7.5537872314453,1000,1,1,1431910989,1431910989,0
GSM,636,1,20049,26070,0,38.202896118164,6.1571502685547,1000,1,1,1438342222,1438342222,0
GSM,636,1,20049,26446,0,38.213882446289,5.6380462646484,1000,1,1,1439792528,1439792528,0
GSM,636,1,20045,21605,0,39.01725769043,8.3983612060547,1000,1,1,1438252645,1438252645,0
GSM,636,1,20045,31601,0,38.713760375977,7.9245758056641,1000,1,1,1438853046,1438853046,0
GSM,636,1,20045,31251,0,39.040603637695,8.4120941162109,1000,1,1,1438252640,1438252640,0
GSM,636,1,20058,11158,0,38.672561645508,7.5977325439453,1000,1,1,1433582432,1433582432,0
GSM,636,1,20058,31143,0,38.650588989258,7.2489166259766,1000,1,1,1433582489,1433582489,0
GSM,636,1,20058,11549,0,38.631362915039,7.2447967529297,1000,1,1,1433582488,1433582488,0
GSM,636,1,20047,11164,0,38.660202026367,8.8570404052734,1000,1,1,1436430695,1436430695,0
GSM,636,1,20045,50542,0,39.092788696289,8.6620330810547,1000,1,1,1433653749,1433653749,0
GSM,636,1,20059,35477,0,36.839218139648,7.6732635498047,1000,1,1,1424949255,1424949255,0
GSM,636,1,20065,16160,0,39.981307983398,7.0291900634766,1000,1,1,1432436977,1432436977,0
GSM,636,1,20075,26880,0,37.439346313477,5.3386688232422,1000,1,1,1441861418,1441861418,0
GSM,636,1,20065,36043,0,39.995040893555,7.1115875244141,1000,1,1,1432436861,1432436861,0
GSM,636,1,20069,21056,0,39.291915893555,8.5631561279297,1000,1,1,1429176506,1429176506,0
GSM,636,1,20075,16880,0,37.43522644043,5.3414154052734,1000,1,1,1441861418,1441861418,0
GSM,636,1,20075,26878,0,37.424240112305,5.3235626220703,1000,1,1,1433990395,1433990395,0
GSM,636,1,20065,16041,0,40.003280639648,7.1198272705078,1000,1,1,1434192077,1434192077,0
GSM,636,1,20065,26040,0,40.003280639648,7.1212005615234,1000,1,1,1432708410,1432708410,0
GSM,636,1,20069,21001,0,39.291915893555,8.5631561279297,1000,1,1,1429176506,1429176506,0
GSM,636,1,20076,36493,0,39.05158996582,3.5355377197266,1000,1,1,1430725817,1430725817,0
GSM,636,1,20077,21669,0,38.635482788086,7.2324371337891,1000,1,1,1433582489,1433582489,0
GSM,636,1,20066,11268,0,39.909896850586,8.9105987548828,1000,1,1,1433806970,1433806970,0
GSM,636,1,20069,11001,0,39.291915893555,8.5631561279297,1000,1,1,1429176506,1429176506,0
GSM,636,1,21101,12081,0,38.941727,8.766403,1000,2,1,1458921005,1471422526,0
GSM,636,1,21101,11981,0,38.967819213867,8.7512969970703,1000,1,1,1436856376,1436856376,0
GSM,636,1,21101,14915,0,39.116134643555,8.6290740966797,1000,1,1,1453159915,1453159915,0
GSM,636,1,21101,14841,0,39.190292358398,8.5604095458984,1000,1,1,1453159915,1453159915,0
GSM,636,1,21101,12223,0,39.010849,8.759995,1000,3,1,1458921005,1471597623,0
GSM,636,1,21101,17033,0,38.627243041992,8.5315704345703,1000,1,1,1453347457,1453347457,0
GSM,636,1,21101,14816,0,39.026870727539,8.4258270263672,1000,1,1,1446122504,1446122504,0
GSM,636,1,21101,12041,0,38.95752,8.756104,1000,2,1,1458921005,1465636137,0
GSM,636,1,21102,10193,0,39.22737121582,8.5370635986328,1000,1,1,1453603759,1453603759,0
GSM,636,1,21102,10171,0,39.323501586914,8.3434295654297,1000,1,1,1449451414,1449451414,0
GSM,636,1,21101,12044,0,38.973656,8.748894,2903,4,1,1458921005,1487078213,0
GSM,636,1,21101,17031,0,39.026413,8.735733,1000,3,1,1458921005,1488170048,0
GSM,636,1,21101,12312,0,39.092788696289,8.3022308349609,1000,1,1,1441704950,1441704950,0
